Previous_Duration Current_Duration
4.37 3.87
3.87 4
4 4.03
4.03 3.5
3.5 4.08
4.08 2.25
2.25 4.7
4.7 1.73
1.73 4.93
4.93 1.73
1.73 4.62
4.62 3.43
3.43 4.25
4.25 1.68
1.68 3.92
3.92 3.68
3.68 3.1
3.1 4.03
4.03 1.77
1.77 4.08
4.08 1.75
1.75 3.2
3.2 1.85
1.85 4.62
4.62 1.97
1.97 4.5
4.5 3.92
3.92 4.35
4.35 2.33
2.33 3.83
3.83 1.88
1.88 4.6
4.6 1.8
1.8 4.73
4.73 1.77
1.77 4.57
4.57 1.85
1.85 3.52
3.52 4
4 3.7
3.7 3.72
3.72 4.25
4.25 3.58
3.58 3.8
3.8 3.77
3.77 3.75
3.75 2.5
2.5 4.5
4.5 4.1
4.1 3.7
3.7 3.8
3.8 3.43
3.43 4
4 2.27
2.27 4.4
4.4 4.05
4.05 4.25
4.25 3.33
3.33 2
2 4.33
4.33 2.93
2.93 4.58
4.58 1.9
1.9 3.58
3.58 3.73
3.73 3.73
3.73 1.82
1.82 4.63
4.63 3.5
3.5 4
4 3.67
3.67 1.67
1.67 4.6
4.6 1.67
1.67 4
4 1.8
1.8 4.42
4.42 1.9
1.9 4.63
4.63 2.93
2.93 3.5
3.5 1.97
1.97 4.28
4.28 1.83
1.83 4.13
4.13 1.83
1.83 4.65
4.65 4.2
4.2 3.93
3.93 4.33
4.33 1.83
1.83 4.53
4.53 2.03
2.03 4.18
4.18 4.43
4.43 4.07
4.07 4.13
4.13 3.95
3.95 4.1
4.58 1.9
1.9 4.5
4.5 1.95
1.95 4.83
2.27 4.58
4.8 4.1
4.1 2.28
1.71903329204006 2.35373713856077
2.32939410812063 1.92393405704243
